,band_name,fans,formed,origin,style
0,Iron Maiden,4195,1975,United Kingdom,New wave of british heavy
1,Opeth,4147,1990,Sweden,Extreme progressive
2,Metallica,3712,1981,USA,Heavy
3,Megadeth,3105,1983,USA,Thrash
4,Amon Amarth,3054,1988,Sweden,Melodic death
5,Slayer,2955,1981,USA,Thrash
6,Death,2690,1983,USA,Progressive death
7,Dream Theater,2329,1985,USA,Progressive
8,Black Sabbath,2307,1968,United Kingdom,Doom
9,Nightwish,2183,1996,Finland,Symphonic power
10,Children Of Bodom,2153,1993,Finland,Extreme power
11,Judas Priest,2094,1969,United Kingdom,Heavy
12,Blind Guardian,2040,1984,Germany,Power
13,In Flames,1932,1990,Sweden,Gothenburg
14,Pantera,1920,1981,USA,Heavy
15,Dark Tranquillity,1898,1989,Sweden,Gothenburg
16,Agalloch,1881,1995,USA,Atmospheric black
17,Ensiferum,1879,1995,Finland,Extreme folk
18,Arch Enemy,1750,1996,Sweden,Gothenburg
19,Katatonia,1735,1991,Sweden,Blackened doom
20,Behemoth,1721,1991,Poland,Death
21,Dimmu Borgir,1688,1993,Norway,Symphonic black
22,Kreator,1646,1982,Germany,Teutonic thrash
23,Wintersun,1640,2004,Finland,Extreme power
24,Insomnium,1547,1997,Finland,Melodic death
25,Amorphis,1528,1990,Finland,Death
26,Kamelot,1520,1991,USA,Symphonic power
27,Tool,1506,1988,USA,Progressive
28,Helloween,1501,1978,Germany,Speed
29,Testament,1500,1983,USA,Bay area thrash
30,Epica,1450,2002,Netherlands,Symphonic
31,Immortal,1436,1990,Norway,Death
32,Lamb Of God,1433,1999,USA,Groove thrash
33,Iced Earth,1403,1985,USA,Heavy
34,Anathema,1400,1990,United Kingdom,Death doom
35,Symphony X,1343,1994,USA,Progressive
36,Eluveitie,1328,2002,Switzerland,Celtic folk
37,Gojira,1300,1996,France,Progressive death
38,Rammstein,1251,1994,Germany,Industrial
39,Sonata Arctica,1242,1996,Finland,Power
40,Mastodon,1232,1999,USA,Progressive stoner
41,Nile,1189,1993,USA,Brutal death
42,Sepultura,1185,1984,Brazil,Alternative
43,Moonspell,1173,1989,Portugal,Folk
44,Therion,1167,1987,Sweden,Death
45,Cannibal Corpse,1162,1988,USA,Death
46,Enslaved,1146,1991,Norway,Viking black
47,Emperor,1132,1991,Norway,Black
48,Porcupine Tree,1094,1987,United Kingdom,Progressive rock
49,Cradle Of Filth,1084,1991,United Kingdom,Extreme gothic
50,Iron Maiden,4195,1975,United Kingdom,New wave of british heavy
51,Opeth,4147,1990,Sweden,Extreme progressive
52,Metallica,3712,1981,USA,Heavy
53,Megadeth,3105,1983,USA,Thrash
54,Amon Amarth,3054,1988,Sweden,Melodic death
55,Slayer,2955,1981,USA,Thrash
56,Death,2690,1983,USA,Progressive death
57,Dream Theater,2329,1985,USA,Progressive
58,Black Sabbath,2307,1968,United Kingdom,Doom
59,Nightwish,2183,1996,Finland,Symphonic power
60,Children Of Bodom,2153,1993,Finland,Extreme power
61,Judas Priest,2094,1969,United Kingdom,Heavy
62,Blind Guardian,2040,1984,Germany,Power
63,In Flames,1932,1990,Sweden,Gothenburg
64,Pantera,1920,1981,USA,Heavy
65,Dark Tranquillity,1898,1989,Sweden,Gothenburg
66,Agalloch,1881,1995,USA,Atmospheric black
67,Ensiferum,1879,1995,Finland,Extreme folk
68,Arch Enemy,1750,1996,Sweden,Gothenburg
69,Katatonia,1735,1991,Sweden,Blackened doom
70,Behemoth,1721,1991,Poland,Death
71,Dimmu Borgir,1688,1993,Norway,Symphonic black
72,Kreator,1646,1982,Germany,Teutonic thrash
73,Wintersun,1640,2004,Finland,Extreme power
74,Insomnium,1547,1997,Finland,Melodic death
75,Amorphis,1528,1990,Finland,Death
76,Kamelot,1520,1991,USA,Symphonic power
77,Tool,1506,1988,USA,Progressive
78,Helloween,1501,1978,Germany,Speed
79,Testament,1500,1983,USA,Bay area thrash
80,Epica,1450,2002,Netherlands,Symphonic
81,Immortal,1436,1990,Norway,Death
82,Lamb Of God,1433,1999,USA,Groove thrash
83,Iced Earth,1403,1985,USA,Heavy
84,Anathema,1400,1990,United Kingdom,Death doom
85,Symphony X,1343,1994,USA,Progressive
86,Eluveitie,1328,2002,Switzerland,Celtic folk
87,Gojira,1300,1996,France,Progressive death
88,Rammstein,1251,1994,Germany,Industrial
89,Sonata Arctica,1242,1996,Finland,Power
90,Mastodon,1232,1999,USA,Progressive stoner
91,Nile,1189,1993,USA,Brutal death
92,Sepultura,1185,1984,Brazil,Alternative
93,Moonspell,1173,1989,Portugal,Folk
94,Therion,1167,1987,Sweden,Death
95,Cannibal Corpse,1162,1988,USA,Death
96,Enslaved,1146,1991,Norway,Viking black
97,Emperor,1132,1991,Norway,Black
98,Porcupine Tree,1094,1987,United Kingdom,Progressive rock
99,Cradle Of Filth,1084,1991,United Kingdom,Extreme gothic
100,Be'lakor,1083,2004,Australia,Melodic death
101,My Dying Bride,1069,1990,United Kingdom,Death doom
102,Led Zeppelin,1054,1968,United Kingdom,Progressive hard rock
103,Nevermore,1051,1991,USA,Heavy
104,Stratovarius,1046,1982,Finland,Power
105,Paradise Lost,1042,1988,United Kingdom,Gothic
106,Dio,1023,1982,USA,Heavy
107,Kalmah,1004,1991,Finland,Extreme power
108,Carcass,1001,1985,United Kingdom,Grindcore
109,Burzum,978,1989,Norway,Black
110,Anthrax,976,1981,USA,Thrash
111,Morbid Angel,975,1984,USA,Death
112,Meshuggah,970,1987,Sweden,Technical thrash
113,Finntroll,967,1997,Finland,Extreme folk
114,Septicflesh,967,1990,Greece,Atmospheric death
115,Moonsorrow,966,1995,Finland,Viking folk
116,Machine Head,957,1992,USA,Groove thrash
117,System Of A Down,956,1995,USA,Alternative
118,Within Temptation,956,1996,Netherlands,Symphonic
119,Bathory,942,1983,Sweden,Viking black
120,Exodus,937,1980,USA,Bay area thrash
121,Draconian,936,1994,Sweden,Gothic doom
122,Slipknot,928,1995,USA,Alternative
123,AC/DC,923,1973,Australia,Hard rock
124,Ayreon,903,1995,Netherlands,Progressive
125,Swallow The Sun,900,2000,Finland,Melodic death
126,Gamma Ray,898,1988,Germany,Power
127,Rhapsody Of Fire,896,1993,Italy,Symphonic power
128,Hypocrisy,885,1990,Sweden,Death
129,Motörhead,875,1975,United Kingdom,Heavy
130,Bloodbath,872,1998,Sweden,Death
131,Korpiklaani,864,2003,Finland,Folk
132,Manowar,863,1980,USA,Heavy
133,HammerFall,861,1993,Sweden,Power
134,At The Gates,839,1990,Sweden,Melodic death
135,Sabaton,824,1999,Sweden,Power
136,Mayhem,823,1984,Norway,Death
137,Vader,822,1983,Poland,Death
138,Avantasia,819,1999,Germany,Symphonic power
139,Rotting Christ,807,1987,Greece,Black
140,Summoning,799,1993,Austria,Atmospheric black
141,Sodom,783,1980,Germany,Teutonic thrash
142,Overkill,770,1980,USA,Thrash
143,Dissection,768,1989,Sweden,Melodic death
144,Satyricon,768,1990,Norway,Black
145,Rush,767,1968,Canada,Progressive rock
146,Darkthrone,753,1986,Norway,Death
147,Ozzy Osbourne,750,1979,United Kingdom,Heavy
148,Devin Townsend,747,1996,Canada,Industrial progressive
149,Alcest,734,2000,France,Black
150,Equilibrium,729,2001,Germany,Viking folk
151,Deep Purple,714,1968,United Kingdom,Heavy
152,Edguy,714,1992,Germany,Power
153,Soilwork,702,1995,Sweden,Gothenburg
154,Riverside,684,2001,Poland,Progressive
155,Trivium,681,2000,USA,Metalcore
156,Turisas,672,1997,Finland,Folk
157,Orphaned Land,662,1991,Israel,Progressive folk
158,Apocalyptica,656,1993,Finland,Symphonic heavy
159,King Diamond,641,1985,Denmark,Heavy
160,Angra,633,1991,Brazil,Progressive power
161,Deicide,628,1987,USA,Death
162,Alice In Chains,627,1985,USA,Grunge 
163,Haggard,622,1991,Germany,Experimental death
164,Disturbed,620,1996,USA,Nu
165,DragonForce,607,1999,United Kingdom,Power
166,Lacuna Coil,604,1994,Italy,Gothic
167,Accept,601,1968,Germany,Heavy
168,Arcturus,601,1990,Norway,Avantgarde black
169,Omnium Gatherum,599,1996,Finland,Melodic death
170,Obituary,596,1984,USA,Death
171,Pain Of Salvation,596,1984,Sweden,Progressive
172,Necrophagist,595,1992,Germany,Technical death
173,Fear Factory,594,1989,USA,Industrial
174,Tristania,594,1996,Norway,Symphonic gothic
175,Decapitated,587,1996,Poland,Technical death
176,Fleshgod Apocalypse,586,2007,Italy,Symphonic death
177,Primordial,583,1987,Ireland,Black
178,Candlemass,579,1984,Sweden,Epic doom
179,Scar Symmetry,574,2004,Sweden,Melodic death
180,Eternal Tears Of Sorrow,573,1991,Finland,Extreme power
181,Marduk,567,1990,Sweden,Black
182,Annihilator,565,1984,Canada,Thrash
183,Alestorm,558,2004,United Kingdom,Folk
184,Ghost,547,2008,Sweden,Heavy
185,Ulver,545,1992,Norway,Folk
186,Cynic,542,1987,USA,Progressive death
187,Ne Obliviscaris,539,2003,Australia,Extreme progressive
188,In Mourning,533,2000,Sweden,Gothic
189,Obscura,532,2002,Germany,Progressive death
190,Korn,531,1993,USA,Nu
191,Evergrey,528,1996,Sweden,Progressive
192,Týr,526,1998,Faroe Islands,Folk
193,Type O Negative,526,1989,USA,Gothic
194,Mercyful Fate,525,1981,Denmark,Heavy
195,Saturnus,522,1991,Denmark,Death
196,Bolt Thrower,519,1986,United Kingdom,Death
197,Scorpions,519,1965,Germany,Progressive rock
198,Napalm Death,516,1981,United Kingdom,Hardcore
199,Windir,514,1994,Norway,Viking black
200,Sentenced,510,1988,Finland,Death
201,Tiamat,510,1988,Sweden,Death
202,Killswitch Engage,500,1999,USA,Melodic metalcore
203,Gorgoroth,498,1992,Norway,Black
204,Celtic Frost,497,1984,Switzerland,First wave of black
205,Rainbow,497,1975,United Kingdom,Hard rock
206,Suffocation,497,1990,USA,Brutal death
207,Kataklysm,493,1991,Canada,Death
208,Dying Fetus,488,1991,USA,Brutal death
209,Norther,488,1996,Finland,Extreme power
210,Sirenia,488,2001,Norway,Symphonic gothic
211,Savatage,482,1978,USA,Progressive heavy
212,Empyrium,481,1994,Germany,Doom
213,Guns N' Roses,481,1985,USA,Hard rock
214,Venom,481,1979,United Kingdom,First wave of black
215,Dark Funeral,479,1993,Sweden,Black
216,Avenged Sevenfold,477,1999,USA,Metalcore
217,Destruction,477,1983,Germany,Teutonic thrash
218,Edge Of Sanity,472,1989,Sweden,Progressive death
219,After Forever,470,1995,Netherlands,Symphonic gothic
220,Ihsahn,464,2005,Norway,Extreme progressive
221,Diablo Swing Orchestra,458,2003,Sweden,Avantgarde
222,Arkona,450,2002,Russian Federation,Pagan folk
223,Leprous,444,2001,Norway,Progressive
224,Between The Buried And Me,441,2000,USA,Progressive metalcore
225,Death Angel,441,1982,USA,Bay area thrash
226,W.A.S.P.,440,1982,USA,Heavy
227,As I Lay Dying,424,2001,USA,Melodic metalcore
228,Black Label Society,424,1998,USA,Heavy
229,Borknagar,420,1995,Norway,Melodic black
230,Isis,420,1997,USA,Post-metal
231,Soulfly,417,1997,USA,Groove thrash
232,Atheist,411,1984,USA,Technical death
233,DevilDriver,411,2002,USA,Nu
234,Shining,410,1996,Sweden,Depressive black
235,Strapping Young Lad,409,1995,Canada,Industrial
236,The Gathering,409,1989,Netherlands,Doom
237,Anaal Nathrakh,399,1998,United Kingdom,Black
238,Ghost Brigade,398,2005,Finland,Post-metal
239,Delain,395,2002,Netherlands,Symphonic
240,Watain,391,1998,Sweden,Black
241,Saxon,387,1976,United Kingdom,New wave of british heavy
242,Vektor,387,2002,USA,Technical thrash
243,Immolation,386,1986,USA,Death
244,Firewind,382,1998,Greece,Power
245,Mors Principium Est,381,1999,Finland,Gothenburg
246,Samael,381,1987,Switzerland,Black
247,Bullet For My Valentine,379,1998,United Kingdom,Melodic metalcore
248,Entombed,379,1987,Sweden,Death
249,Steven Wilson,375,2003,United Kingdom,Progressive rock
250,Xandria,372,1994,Germany,Gothic
